Date,Infectes
22/01/20,571
23/01/20,830
24/01/20,1287
25/01/20,1975
26/01/20,2744
27/01/20,4515
28/01/20,5974
29/01/20,7711
30/01/20,9692
31/01/20,11791
01/02/20,14380
02/02/20,17205
03/02/20,20440
04/02/20,24324
05/02/20,28018
06/02/20,31161
07/02/20,34546
08/02/20,37198
09/02/20,40171
10/02/20,42638
11/02/20,44653
12/02/20,58761
13/02/20,63851
14/02/20,66492
15/02/20,68500
16/02/20,70548
17/02/20,72436
18/02/20,74185
19/02/20,74576
20/02/20,75465
21/02/20,76288
22/02/20,76936
23/02/20,77150
24/02/20,77658
25/02/20,78064
26/02/20,78497
27/02/20,78824
28/02/20,79251
29/02/20,79824
01/03/20,80026
02/03/20,80151
03/03/20,80270
04/03/20,80409
05/03/20,80552
06/03/20,80651
07/03/20,80695
08/03/20,80735
09/03/20,80754
10/03/20,80778
11/03/20,80793
12/03/20,80813
13/02/20,80824
14/03/20,80844
15/03/20,80860
16/03/20,80881
17/03/20,80894
18/03/20,80928
19/03/20,80967
20/03/20,81008
