Date,Infectes,Croissance
01/22/20,571,1.45359019264448
01/23/20,830,1.55060240963855
01/24/20,1287,1.53457653457653
01/25/20,1975,1.38936708860759
01/26/20,2744,1.64540816326531
01/27/20,4515,1.32314507198228
01/28/20,5974,1.29075995982591
01/29/20,7711,1.25690571910258
01/30/20,9692,1.21657036731325
01/31/20,11791,1.21957425154779
02/01/20,14380,1.19645340751043
02/02/20,17205,1.18802673641383
02/03/20,20440,1.19001956947162
02/04/20,24324,1.1518664693307
02/05/20,28018,1.11217788564494
02/06/20,31161,1.10862937646417
02/07/20,34546,1.07676720893881
02/08/20,37198,1.07992365180924
02/09/20,40171,1.06141246172612
02/10/20,42638,1.04725831417984
02/11/20,44653,1.31594741674692
02/12/20,58761,1.08662207927026
02/13/20,63851,1.04136192072168
02/14/20,66492,1.03019912169885
02/15/20,68500,1.02989781021898
02/16/20,70548,1.02676192096161
02/17/20,72436,1.02414545253741
02/18/20,74185,1.00527060726562
02/19/20,74576,1.01192072516627
02/20/20,75465,1.01090571788246
02/21/20,76288,1.00849412751678
02/22/20,76936,1.00278153270251
02/23/20,77150,1.00658457550227
02/24/20,77658,1.00522805119885
02/25/20,78064,1.00554673088748
02/26/20,78497,1.00416576429672
02/27/20,78824,1.00541713183802
02/28/20,79251,1.00723019267896
02/29/20,79824,1.00253056724795
03/01/20,80026,1.00156199235249
03/02/20,80151,1.00148469763322
03/03/20,80270,1.00173165566214
03/04/20,80409,1.00177840788966
03/05/20,80552,1.00122901976363
03/06/20,80651,1.00054556050142
03/07/20,80695,1.00049569366132
03/08/20,80735,1.00023533783365
03/09/20,80754,1.00029719890036
03/10/20,80778,1.00018569412464
03/11/20,80793,1.00024754619831
03/12/20,80813,1.0001361167139
03/13/20,80824,1.0002474512521
03/14/20,80844,1.0001979120281
03/15/20,80860,
