Date,Infectes,Change,Croissance
24/02/20,12,,
25/02/20,14,2,
26/02/20,18,4,2
27/02/20,38,20,5
28/02/20,57,19,0.95
29/02/20,100,43,2.26315789473684
01/03/20,130,30,0.697674418604651
02/03/20,191,61,2.03333333333333
03/03/20,212,21,0.344262295081967
04/03/20,285,73,3.47619047619048
05/03/20,423,138,1.89041095890411
06/03/20,613,190,1.3768115942029
07/03/20,949,336,1.76842105263158
08/03/20,1221,272,0.80952380952381
09/03/20,1427,206,0.757352941176471
10/03/20,1888,461,2.2378640776699
11/03/20,2378,490,1.06290672451193
12/03/20,2889,511,1.04285714285714
13/03/20,3813,924,1.80821917808219
14/03/20,4781,968,1.04761904761905
